Id Num,Measure Names,Month of Date,Avg. %GoodReadings,Avg. Depth Range
42368,Avg. %GoodReadings,January,90.892230026,
42368,Avg. %GoodReadings,February,87.270459082,
42368,Avg. %GoodReadings,June,91.031626506,
42368,Avg. %GoodReadings,July,91.320382883,
42368,Avg. %GoodReadings,August,93.349744712,
42368,Avg. Depth Range,January,,1233.222124671
42368,Avg. Depth Range,February,,1202.395209581
42368,Avg. Depth Range,June,,1246.843373494
42368,Avg. Depth Range,July,,1221.722522523
42368,Avg. Depth Range,August,,1238.196936543
