Id Num	Measure Names	Month of Date	Avg. %GoodReadings	Avg. Depth Range
42370	Avg. %GoodReadings	June	96.6	
42370	Avg. %GoodReadings	July	96.4	
42370	Avg. %GoodReadings	August	97.8	
42370	Avg. %GoodReadings	October	95.5	
42370	Avg. %GoodReadings	November	94.7	
42370	Avg. %GoodReadings	December	95.1	
42374	Avg. %GoodReadings	January	69.3	
42374	Avg. %GoodReadings	February	70.1	
42374	Avg. %GoodReadings	March	70.5	
42374	Avg. %GoodReadings	April	68.1	
42374	Avg. %GoodReadings	May	69.3	
42374	Avg. %GoodReadings	June	69.6	
42374	Avg. %GoodReadings	July	66.5	
42374	Avg. %GoodReadings	August	70.0	
42374	Avg. %GoodReadings	October	69.6	
42374	Avg. %GoodReadings	November	66.6	
42374	Avg. %GoodReadings	December	70.4	
42880	Avg. %GoodReadings	January	37.7	
42880	Avg. %GoodReadings	February	34.9	
42880	Avg. %GoodReadings	March	36.6	
42880	Avg. %GoodReadings	April	39.9	
42880	Avg. %GoodReadings	May	40.1	
42880	Avg. %GoodReadings	June	42.0	
42880	Avg. %GoodReadings	July	43.4	
42880	Avg. %GoodReadings	August	40.1	
42880	Avg. %GoodReadings	September	40.2	
42887	Avg. %GoodReadings	January	95.1	
42887	Avg. %GoodReadings	February	93.0	
42887	Avg. %GoodReadings	March	95.0	
42887	Avg. %GoodReadings	April	94.3	
42887	Avg. %GoodReadings	May	96.7	
42887	Avg. %GoodReadings	June	98.8	
42887	Avg. %GoodReadings	July	94.6	
42887	Avg. %GoodReadings	August	97.5	
42887	Avg. %GoodReadings	September	96.8	
42887	Avg. %GoodReadings	October	92.8	
42887	Avg. %GoodReadings	November	93.8	
42901	Avg. %GoodReadings	January	40.2	
42901	Avg. %GoodReadings	February	30.6	
42901	Avg. %GoodReadings	March	14.8	
42901	Avg. %GoodReadings	April	10.5	
42901	Avg. %GoodReadings	May	18.9	
42901	Avg. %GoodReadings	June	50.5	
42901	Avg. %GoodReadings	July	14.6	
42901	Avg. %GoodReadings	August	3.2	
42901	Avg. %GoodReadings	September	7.2	
42901	Avg. %GoodReadings	October	5.2	
42901	Avg. %GoodReadings	November	0.6	
42901	Avg. %GoodReadings	December	0.7	
42370	Avg. Depth Range	June		532.0510894
42370	Avg. Depth Range	July		530.9172662
42370	Avg. Depth Range	August		534.1812866
42370	Avg. Depth Range	October		526.9296741
42370	Avg. Depth Range	November		524.9093445
42370	Avg. Depth Range	December		526.5262214
42374	Avg. Depth Range	January		340.5306931
42374	Avg. Depth Range	February		346.5705706
42374	Avg. Depth Range	March		348.6262443
42374	Avg. Depth Range	April		341.2606778
42374	Avg. Depth Range	May		344.8141113
42374	Avg. Depth Range	June		342.0009341
42374	Avg. Depth Range	July		331.6536007
42374	Avg. Depth Range	August		344.3753666
42374	Avg. Depth Range	October		341.3700516
42374	Avg. Depth Range	November		329.3320507
42374	Avg. Depth Range	December		346.7389341
42880	Avg. Depth Range	January		456.5143497
42880	Avg. Depth Range	February		425.756651
42880	Avg. Depth Range	March		445.3944686
42880	Avg. Depth Range	April		483.7744111
42880	Avg. Depth Range	May		485.6943883
42880	Avg. Depth Range	June		508.348208
42880	Avg. Depth Range	July		525.3633584
42880	Avg. Depth Range	August		485.6488789
42880	Avg. Depth Range	September		486.9021167
42887	Avg. Depth Range	January		882.3902997
42887	Avg. Depth Range	February		862.9788945
42887	Avg. Depth Range	March		881.2592425
42887	Avg. Depth Range	April		874.8899744
42887	Avg. Depth Range	May		899.3331834
42887	Avg. Depth Range	June		916.8612544
42887	Avg. Depth Range	July		877.2451047
42887	Avg. Depth Range	August		904.9089827
42887	Avg. Depth Range	September		897.2882818
42887	Avg. Depth Range	October		860.2027475
42887	Avg. Depth Range	November		868.6685134
42901	Avg. Depth Range	January		488.9922043
42901	Avg. Depth Range	February		379.9684435
42901	Avg. Depth Range	March		200.4587234
42901	Avg. Depth Range	April		150.4344064
42901	Avg. Depth Range	May		246.553211
42901	Avg. Depth Range	June		605.9984848
42901	Avg. Depth Range	July		195.6997558
42901	Avg. Depth Range	August		66.70703043
42901	Avg. Depth Range	September		113.306662
42901	Avg. Depth Range	October		89.76819338
42901	Avg. Depth Range	November		37.70079208
42901	Avg. Depth Range	December		38.40383747
