Id Num	Measure Names	Month of Date	Avg. %GoodReadings	Avg. Depth Range
42363	Avg. %GoodReadings	January	73.39679562	
42363	Avg. %GoodReadings	February	64.80142204	
42363	Avg. %GoodReadings	March	74.58793247	
42363	Avg. %GoodReadings	April	76.75932937	
42363	Avg. %GoodReadings	May	75.45387006	
42363	Avg. %GoodReadings	June	66.22576059	
42363	Avg. %GoodReadings	July	77.54789272	
42368	Avg. %GoodReadings	January	90.89223003	
42368	Avg. %GoodReadings	February	87.27045908	
42368	Avg. %GoodReadings	June	91.03162651	
42368	Avg. %GoodReadings	July	91.32038288	
42368	Avg. %GoodReadings	August	93.34974471	
42370	Avg. %GoodReadings	June	96.56273479	
42370	Avg. %GoodReadings	July	96.36594296	
42370	Avg. %GoodReadings	August	97.84878864	
42370	Avg. %GoodReadings	October	95.47904925	
42370	Avg. %GoodReadings	November	94.69183768	
42370	Avg. %GoodReadings	December	95.09348787	
42374	Avg. %GoodReadings	January	69.30693069	
42374	Avg. %GoodReadings	February	70.08883884	
42374	Avg. %GoodReadings	March	70.51187783	
42374	Avg. %GoodReadings	April	68.08844011	
42374	Avg. %GoodReadings	May	69.30263456	
42374	Avg. %GoodReadings	June	69.60240542	
42374	Avg. %GoodReadings	July	66.45111668	
42374	Avg. %GoodReadings	August	70.04215543	
42374	Avg. %GoodReadings	October	69.62134251	
42374	Avg. %GoodReadings	November	66.62365087	
42374	Avg. %GoodReadings	December	70.40565718	
42390	Avg. %GoodReadings	January	58.90673654	
42390	Avg. %GoodReadings	February	59.48519627	
42390	Avg. %GoodReadings	March	61.43253166	
42390	Avg. %GoodReadings	April	64.12676867	
42390	Avg. %GoodReadings	May	63.33108715	
42390	Avg. %GoodReadings	June	65.70686425	
42390	Avg. %GoodReadings	July	64.33611774	
42394	Avg. %GoodReadings	January	74.2511703	
42394	Avg. %GoodReadings	February	74.13860821	
42394	Avg. %GoodReadings	March	74.23142371	
42394	Avg. %GoodReadings	April	74.27937842	
42394	Avg. %GoodReadings	May	74.27698772	
42394	Avg. %GoodReadings	June	74.27634441	
42394	Avg. %GoodReadings	July	74.23370025	
42396	Avg. %GoodReadings	April	87.41868717	
42396	Avg. %GoodReadings	May	87.5	
42396	Avg. %GoodReadings	June	87.49855725	
42396	Avg. %GoodReadings	July	87.46555611	
42396	Avg. %GoodReadings	August	87.01690821	
42396	Avg. %GoodReadings	October	86.45603638	
42396	Avg. %GoodReadings	November	87.40234375	
42396	Avg. %GoodReadings	December	87.46939003	
42874	Avg. %GoodReadings	January	41.09106653	
42874	Avg. %GoodReadings	August	92.6526522	
42874	Avg. %GoodReadings	September	89.1876294	
42874	Avg. %GoodReadings	October	93.91304348	
42876	Avg. %GoodReadings	January	41.43589744	
42876	Avg. %GoodReadings	February	52.2612407	
42876	Avg. %GoodReadings	March	46.50520532	
42876	Avg. %GoodReadings	April	50.27876367	
42876	Avg. %GoodReadings	May	54.14425475	
42876	Avg. %GoodReadings	June	52.58899442	
42880	Avg. %GoodReadings	January	37.68077009	
42880	Avg. %GoodReadings	February	34.93534803	
42880	Avg. %GoodReadings	March	36.6272	
42880	Avg. %GoodReadings	April	39.93718245	
42880	Avg. %GoodReadings	May	40.14320988	
42880	Avg. %GoodReadings	June	42.01347346	
42880	Avg. %GoodReadings	July	43.41152882	
42880	Avg. %GoodReadings	August	40.09058296	
42880	Avg. %GoodReadings	September	40.20134228	
42887	Avg. %GoodReadings	January	95.08503012	
42887	Avg. %GoodReadings	February	93.02177554	
42887	Avg. %GoodReadings	March	94.98752552	
42887	Avg. %GoodReadings	April	94.33744282	
42887	Avg. %GoodReadings	May	96.71991001	
42887	Avg. %GoodReadings	June	98.77907503	
42887	Avg. %GoodReadings	July	94.64025808	
42887	Avg. %GoodReadings	August	97.50902241	
42887	Avg. %GoodReadings	September	96.75133797	
42887	Avg. %GoodReadings	October	92.76251382	
42887	Avg. %GoodReadings	November	93.79116651	
42901	Avg. %GoodReadings	January	40.2311828	
42901	Avg. %GoodReadings	February	30.57995736	
42901	Avg. %GoodReadings	March	14.82553192	
42901	Avg. %GoodReadings	April	10.45674044	
42901	Avg. %GoodReadings	May	18.88859764	
42901	Avg. %GoodReadings	June	50.46212121	
42901	Avg. %GoodReadings	July	14.64590965	
42901	Avg. %GoodReadings	August	3.210912907	
42901	Avg. %GoodReadings	September	7.210378682	
42901	Avg. %GoodReadings	October	5.171501272	
42901	Avg. %GoodReadings	November	0.582178218	
42901	Avg. %GoodReadings	December	0.65462754	
42912	Avg. %GoodReadings	January	51.87074433	
42912	Avg. %GoodReadings	February	51.73801561	
42912	Avg. %GoodReadings	March	57.76142046	
